URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/consent-provision-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.757",ConsentProvisionType,ConsentProvisionType,"How a rule statement is applied, such as adding additional consent or removing consent.","StructureDefinition/bumblebee-consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-scope,4.0.1,draft,"2.16.840.1.113883.4.642.3.761",ConsentScopeCodes,Consent Scope Codes,"This value set includes the four Consent scope codes.","StructureDefinition/bumblebee-consent","THO"
http://hl7.org/fhir/ValueSet/consent-state-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.755",ConsentState,ConsentState,"Indicates the state of the consent.","StructureDefinition/bumblebee-consent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/bumblebee-organization","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/bumblebee-vital-signs,StructureDefinition/bumblebee-muac,StructureDefinition/bumblebee-pain-score,StructureDefinition/bumblebee-triage-assessment,StructureDefinition/bumblebee-allergy-asked,StructureDefinition/bumblebee-pregnancy-status,StructureDefinition/bumblebee-fluid-balance,StructureDefinition/bumblebee-body-site-finding,StructureDefinition/bumblebee-tbsa","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/bumblebee-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.425",ProcedureDeviceActionCodes,Procedure Device Action Codes,"Example codes indicating the change that happened to the device during the procedure.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/bumblebee-procedure","SCT"
http://hl7.org/fhir/ValueSet/device-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.208",FHIRDeviceTypes,FHIR Device Types,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/bumblebee-procedure","SCT"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/bumblebee-encounter","THO"
http://hl7.org/fhir/ValueSet/doc-section-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.237",DocumentSectionCodes,Document Section Codes,"Document section codes (LOINC codes used in CCDA sections).","StructureDefinition/bumblebee-patient-summary,StructureDefinition/bumblebee-transfer-document","LOINC"
http://hl7.org/fhir/ValueSet/doc-typecodes,4.0.1,draft,"2.16.840.1.113883.4.642.3.240",FHIRDocumentTypeCodes,FHIR Document Type Codes,"FHIR Document Codes - all LOINC codes where scale type = 'DOC'.","StructureDefinition/bumblebee-patient-summary,StructureDefinition/bumblebee-transfer-document","LOINC"
http://hl7.org/fhir/ValueSet/document-classcodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.46",DocumentClassValueSet,Document Class Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Note: Class code for documents comes from LOINC, and is based upon one of the following:The type of service described by the document. It is described at a very high level in Section 7.3 of the LOINC Manual. The type study performed. It was determined by identifying modalities for study reports. The section of the chart where the document is placed. It was determined from the SETs created for Claims Attachment requests.","StructureDefinition/bumblebee-patient-summary,StructureDefinition/bumblebee-transfer-document","LOINC"
http://hl7.org/fhir/ValueSet/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.244",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","StructureDefinition/bumblebee-patient-summary,StructureDefinition/bumblebee-transfer-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-admit-source,4.0.1,draft,"2.16.840.1.113883.4.642.3.257",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","StructureDefinition/bumblebee-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-diet,4.0.1,draft,"2.16.840.1.113883.4.642.3.255",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","StructureDefinition/bumblebee-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/bumblebee-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/bumblebee-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/bumblebee-encounter","THO (V3),THO"
